numParks,code,meanHouseholdIncome,totalPopulation,populationDensity,race.white,race.black,race.americanIndianOrAlaskanNative,race.asian,race.nativeHawaiianOrPacificIslander,race.otherRace,race.twoOrMore
0,35776,53910,3785,37.56403589,3567,5,93,3,10,0,107
22,35801,108002,23947,1527.302421,19939,2819,111,506,12,141,419
5,35802,95615,21853,1174.229476,17016,3337,111,643,8,189,549
11,35803,94556,26242,535.3637262,22355,1574,28,966,23,163,1133
12,35805,37391,20491,2458.26049,10085,6953,98,163,31,2262,899
1,35806,86080,23019,814.0114256,14436,6805,130,720,0,145,783
1,35808,100485,1348,33.71974147,688,493,19,48,0,18,82
11,35810,51355,29274,1063.016457,6377,21315,99,246,54,483,700
6,35811,81812,27245,561.1891892,19702,6363,140,312,18,52,658
3,35816,35526,13971,2873.749764,3640,8967,51,449,0,458,406
1,35824,97533,8298,476.0037641,5097,2356,0,307,0,75,463
0,35896,NA,698,2523.809524,59,639,0,0,0,0,0
3,35901,59486,19811,336.9643788,12783,5988,236,65,0,458,281
1,35903,51281,17699,268.3042601,11079,6051,47,156,0,142,224
3,35904,51513,13704,307.4090919,11276,1717,38,168,0,281,224
3,35905,71212,6219,154.3797115,5957,113,0,0,0,45,104
3,35906,71358,9811,280.3444466,8273,916,0,269,0,120,233
0,35907,86365,8589,374.7361803,8356,77,50,40,0,18,48
2,35950,55406,20867,467.2230448,19215,802,64,45,0,434,307
0,35951,58409,12686,179.84841,11508,31,43,112,47,613,332
0,35952,50591,7879,70.47931774,7666,37,16,31,0,17,112
0,35953,56315,7519,64.14661081,6453,883,123,26,0,7,27
3,35954,54614,11834,118.472152,9829,1444,57,27,21,115,341
1,35956,61068,8927,119.9256738,8541,0,123,17,3,12,231
4,35957,52414,15967,197.2077008,14988,441,0,32,0,375,131
0,35958,59034,3523,67.99802574,3437,0,0,21,0,0,65
1,35959,53252,4523,77.5,4110,370,14,29,0,0,0
4,35960,61367,9714,70.50592034,8871,635,38,0,0,0,170
0,35961,51908,7082,50.94156657,5222,260,39,0,78,1303,180
0,35962,56315,8730,105.4611065,7483,15,130,0,0,1032,70
0,35963,57134,1201,61.41425791,1126,31,17,0,0,0,27
0,35966,51236,4182,46.9051471,3919,0,123,0,0,0,140
5,35967,51464,16274,133.0421287,13842,349,76,8,411,1057,531
0,35968,61258,5206,85.36084782,4192,159,92,9,0,666,88
0,35971,66064,5666,86.64068974,5298,101,51,42,0,68,106
0,35972,61405,1222,46.72053817,1202,0,0,0,0,0,20
0,35973,48696,2810,25.07864383,2751,53,6,0,0,0,0
0,35974,66684,1744,120.9376665,1580,2,11,0,0,61,90
0,35975,41389,629,30.90675391,629,0,0,0,0,0,0
6,35976,72957,17549,127.202514,15676,1092,31,205,3,156,386
0,35978,50958,4901,79.96795347,4593,0,20,0,10,124,154
0,35979,39008,1352,133.5371096,1283,0,36,0,0,0,33
0,35980,62076,5440,93.07316369,5134,3,24,11,0,219,49
0,35981,62626,1802,92.6318522,1459,0,115,27,0,0,201
1,35983,70092,3683,74.5839818,3620,0,8,0,0,0,55
0,35984,66777,1492,29.23741274,1450,0,9,0,33,0,0
0,35986,52075,7968,171.1494685,6726,134,157,0,0,710,241
0,35987,58596,2458,44.90256514,2185,21,52,5,0,109,86
0,35988,62476,2311,158.9121887,2077,5,26,0,0,184,19
0,35989,64155,3831,58.8642317,3161,49,33,0,29,536,23
0,35990,35900,82,493.5064935,82,0,0,0,0,0,0
0,36003,58940,1963,21.15081872,818,1102,23,9,0,0,11
0,36005,71714,1438,10.79516842,880,468,0,26,0,0,64
0,36006,73438,1108,18.37108757,960,99,2,0,0,0,47
0,36009,60784,2463,17.08900803,1720,668,47,0,0,0,28
0,36010,59265,4766,36.88834906,2512,2113,62,11,0,5,63
0,36013,114889,615,32.32671844,491,118,0,6,0,0,0
0,36016,46020,4951,21.34555764,2301,2556,11,10,0,47,26
0,36017,42662,2897,53.29435575,1167,1443,32,12,0,227,16
0,36020,56434,1039,111.6857285,581,378,47,9,0,0,24
1,36022,87149,13003,144.2215539,11765,983,0,29,0,20,206
0,36024,74414,5124,60.37954126,4460,572,0,0,0,0,92
0,36025,68090,6231,397.3505341,3213,2701,63,10,0,165,79
0,36026,96472,1091,14.7777235,924,167,0,0,0,0,0
2,36027,48779,14970,56.29546029,7076,6899,39,112,0,613,231
